id,наименование_задачи,тип_задачи,технологический_стек,срок_выполнения_дней,цена_руб,ценовой_диапазон
27,Система бронирования,Fullstack-разработка,React+Spring Boot,27,87000,60 000–120 000 ₽
28,Мониторинг наличия на Wildberries,Парсинг данных,Scrapy,6,3200,до 5 000 ₽
29,Мониторинг Prometheus/Grafana,CI/CD и DevOps,GitLab CI,9,8000,5 000–15 000 ₽
30,Переписать N+1 в ORM,Оптимизация SQL,PostgreSQL+ORM,6,6900,5 000–15 000 ₽
31,Система бронирования,Fullstack-разработка,Next.js+Supabase,16,87500,60 000–120 000 ₽
32,Дизайн onboarding-flow,UI/UX Дизайн,Sketch,10,6800,5 000–15 000 ₽
33,Дизайн мобильного приложения (10 экранов),UI/UX Дизайн,Adobe XD,19,15000,15 000–30 000 ₽
34,Интернет-аптека с кабинетом,Интернет-магазин,WooCommerce,36,10000,5 000–15 000 ₽
35,Индексирование и рефакторинг JOIN,Оптимизация SQL,MySQL,1,8000,5 000–15 000 ₽
36,Переписать N+1 в ORM,Оптимизация SQL,MySQL,3,7900,5 000–15 000 ₽
37,GraphQL API для портала,Написание API,Kotlin+Ktor,6,23000,15 000–30 000 ₽
38,Интернет-магазин одежды,Интернет-магазин,Laravel+Vue,36,61000,60 000–120 000 ₽
39,Магазин электроники с фильтрами,Интернет-магазин,Django+React,22,34700,30 000–60 000 ₽
40,Интернет-магазин одежды,Интернет-магазин,Django+React,38,57000,30 000–60 000 ₽
41,Маркетплейс для мастеров,Интернет-магазин,WooCommerce,37,32400,30 000–60 000 ₽
42,CRUD API системы задач,Написание API,Node.js+Express,3,19000,15 000–30 000 ₽
43,Вёрстка email-шаблона,Вёрстка,HTML+Bootstrap 5,14,5400,5 000–15 000 ₽
44,Вёрстка главной страницы по макету Figma,Вёрстка,HTML+Tailwind,4,4000,до 5 000 ₽
45,Pixel-perfect вёрстка карточки товара,Вёрстка,Next.js+SCSS,1,10000,5 000–15 000 ₽
46,Ускорение отчётов PostgreSQL,Оптимизация SQL,MySQL,6,4000,до 5 000 ₽
47,Миграция на новый VPS,CI/CD и DevOps,GitLab CI,4,9000,5 000–15 000 ₽
48,Интернет-аптека с кабинетом,Интернет-магазин,React+Node.js,18,46000,30 000–60 000 ₽
49,Интеграция Bitrix24,Автоматизация и скрипты,Python,7,3000,до 5 000 ₽
50,Вёрстка личного кабинета,Вёрстка,HTML+CSS+BEM,14,4000,до 5 000 ₽
51,Мониторинг Prometheus/Grafana,CI/CD и DevOps,Ansible,8,9000,5 000–15 000 ₽
52,Вёрстка дашборда аналитики,Вёрстка,HTML+Bootstrap 5,8,2000,до 5 000 ₽
53,Вёрстка формы wizard,Вёрстка,HTML+Bootstrap 5,2,7000,5 000–15 000 ₽
54,Анализ тональности отзывов,ML-модель,Hugging Face,12,26000,15 000–30 000 ₽
55,Лендинг для детского лагеря,Лендинг,Vue.js,7,12000,5 000–15 000 ₽
56,Мониторинг Prometheus/Grafana,CI/CD и DevOps,Docker+GitHub Actions,6,13500,5 000–15 000 ₽
57,Pixel-perfect вёрстка карточки товара,Вёрстка,React+CSS Modules,12,6300,5 000–15 000 ₽
58,API авторизации JWT и OAuth,Написание API,Django REST,8,11000,5 000–15 000 ₽
59,Вёрстка дашборда аналитики,Вёрстка,React+CSS Modules,2,9000,5 000–15 000 ₽
60,Вёрстка личного кабинета,Вёрстка,Next.js+SCSS,11,11400,5 000–15 000 ₽
61,Вёрстка email-шаблона,Вёрстка,HTML+Tailwind,2,4000,до 5 000 ₽
62,Дашборд с графиками,UI-компонент,Svelte,5,3000,до 5 000 ₽
63,Синхронизация CRM и 1С,Автоматизация и скрипты,Python,14,4000,до 5 000 ₽
64,Оптимизация запроса аналитики,Оптимизация SQL,SQL Server,8,9000,5 000–15 000 ₽
65,Вёрстка email-шаблона,Вёрстка,HTML+CSS+BEM,14,3300,до 5 000 ₽
66,Интернет-аптека с кабинетом,Интернет-магазин,Django+React,13,24500,15 000–30 000 ₽
67,Парсер новостей,Парсинг данных,Python+BeautifulSoup,6,5800,5 000–15 000 ₽
68,Дизайн лендинга в Figma,UI/UX Дизайн,Figma+FigJam,13,13000,5 000–15 000 ₽
69,UX-аудит сайта,UI/UX Дизайн,Figma+Lottie,11,33000,30 000–60 000 ₽
70,API интеграции с 1С,Написание API,Django REST,13,13000,5 000–15 000 ₽
71,MVP приложения доставки еды,Мобильное приложение,Kotlin (Android),10,64500,60 000–120 000 ₽
72,Приложение для бронирования,Мобильное приложение,Swift (iOS),50,69000,60 000–120 000 ₽
73,Лендинг для службы доставки,Лендинг,React,8,13000,5 000–15 000 ₽
74,Детекция аномалий,ML-модель,PyTorch,4,19000,15 000–30 000 ₽
75,Редизайн личного кабинета,UI/UX Дизайн,Figma,17,14000,5 000–15 000 ₽
76,Дашборд с графиками,UI-компонент,React+TypeScript,4,4000,до 5 000 ₽
77,Дизайн дашборда аналитики,UI/UX Дизайн,Sketch,14,16000,15 000–30 000 ₽
78,Дизайн email-шаблона,UI/UX Дизайн,Figma,20,23000,15 000–30 000 ₽
79,Дизайн-система и UI-кит,UI/UX Дизайн,Figma+FigJam,10,14000,5 000–15 000 ₽
80,Дизайн мобильного приложения (10 экранов),UI/UX Дизайн,Figma+FigJam,7,8000,5 000–15 000 ₽
81,Приложение для бронирования,Мобильное приложение,Flutter,18,62000,60 000–120 000 ₽
82,GraphQL API для портала,Написание API,Node.js+Express,7,16000,15 000–30 000 ₽
83,Вёрстка мобильного меню,Вёрстка,HTML+Bootstrap 5,6,5000,5 000–15 000 ₽
84,UX-аудит сайта,UI/UX Дизайн,Figma+Principle,11,16300,15 000–30 000 ₽
85,Автовыгрузка данных в Excel,Автоматизация и скрипты,Bash+Python,7,3000,до 5 000 ₽
86,Full-text search PostgreSQL,Оптимизация SQL,BigQuery,8,10000,5 000–15 000 ₽
87,API для мобильного приложения,Написание API,Go+Gin,6,18000,15 000–30 000 ₽
88,Магазин детских товаров,Интернет-магазин,React+Node.js,18,51500,30 000–60 000 ₽
89,UX-аудит сайта,UI/UX Дизайн,Sketch,5,12000,5 000–15 000 ₽
90,Pixel-perfect вёрстка карточки товара,Вёрстка,Next.js+SCSS,4,9500,5 000–15 000 ₽
91,Интернет-магазин одежды,Интернет-магазин,Django+React,20,63000,60 000–120 000 ₽
92,Мультивендорный магазин,Интернет-магазин,1C-Bitrix,5,32000,30 000–60 000 ₽
93,API для мобильного приложения,Написание API,Go+Gin,21,24500,15 000–30 000 ₽
94,Автовыгрузка данных в Excel,Автоматизация и скрипты,Python,2,3800,до 5 000 ₽
95,Магазин детских товаров,Интернет-магазин,Shopify,38,12000,5 000–15 000 ₽
96,Учебное приложение с карточками,Мобильное приложение,Flutter+Firebase,45,48900,30 000–60 000 ₽
97,Приложение для записи к врачу,Мобильное приложение,Kotlin (Android),38,67000,60 000–120 000 ₽
98,Парсер товаров с маркетплейса,Парсинг данных,Python+requests,2,3900,до 5 000 ₽
99,Индексирование и рефакторинг JOIN,Оптимизация SQL,PostgreSQL+ORM,5,10000,5 000–15 000 ₽
100,Каталог товаров с корзиной,Интернет-магазин,1C-Bitrix,35,19500,15 000–30 000 ₽
101,Accordion FAQ,UI-компонент,React+Storybook,2,3500,до 5 000 ₽
102,Вёрстка личного кабинета,Вёрстка,HTML+CSS+BEM,6,8000,5 000–15 000 ₽
103,Ускорение отчётов PostgreSQL,Оптимизация SQL,MySQL,8,6000,5 000–15 000 ₽
104,Дата-пикер с диапазоном,UI-компонент,React+Tailwind,3,10000,5 000–15 000 ₽
105,Каталог с корзиной на Flutter,Мобильное приложение,Swift (iOS),45,36000,30 000–60 000 ₽
106,Лендинг с видео-фоном и анимацией,Лендинг,WordPress,14,4000,до 5 000 ₽
107,Приложение трекинга тренировок,Мобильное приложение,React Native+Redux,10,47500,30 000–60 000 ₽
108,Pixel-perfect вёрстка карточки товара,Вёрстка,React+CSS Modules,14,5000,5 000–15 000 ₽
109,Продающий лендинг для SaaS,Лендинг,WordPress,20,6000,5 000–15 000 ₽
110,Оптимизация агрегатов ClickHouse,Оптимизация SQL,ClickHouse,5,11000,5 000–15 000 ₽
111,GitHub Actions для деплоя,CI/CD и DevOps,Ansible,5,6400,5 000–15 000 ₽
112,Accordion FAQ,UI-компонент,Svelte,3,3000,до 5 000 ₽
113,Full-text search PostgreSQL,Оптимизация SQL,BigQuery,8,5000,5 000–15 000 ₽
114,Лендинг для онлайн-курса,Лендинг,Vue.js,8,17300,15 000–30 000 ₽
115,Планировщик с Cron,Автоматизация и скрипты,n8n,10,2900,до 5 000 ₽
116,MVP приложения доставки еды,Мобильное приложение,React Native+Redux,27,32000,30 000–60 000 ₽
117,Редизайн личного кабинета,UI/UX Дизайн,Adobe XD,4,20000,15 000–30 000 ₽
118,Мультивендорный магазин,Интернет-магазин,Shopify,30,31000,30 000–60 000 ₽
119,Kubernetes-манифесты,CI/CD и DevOps,Terraform+AWS,10,18000,15 000–30 000 ₽
120,Вёрстка личного кабинета,Вёрстка,HTML+CSS+BEM,10,6500,5 000–15 000 ₽
121,Вёрстка мобильного меню,Вёрстка,HTML+Tailwind,9,4000,до 5 000 ₽
122,API для мобильного приложения,Написание API,Django REST,5,20500,15 000–30 000 ₽
123,Докеризация приложения,CI/CD и DevOps,Terraform+AWS,1,25000,15 000–30 000 ₽
124,Мониторинг сервера с алертами,Автоматизация и скрипты,n8n,5,6500,5 000–15 000 ₽
125,API авторизации JWT и OAuth,Написание API,Django REST,14,12500,5 000–15 000 ₽
126,Дата-пикер с диапазоном,UI-компонент,Svelte,3,5000,5 000–15 000 ₽
127,Продающий лендинг для SaaS,Лендинг,React,6,7000,5 000–15 000 ₽
128,Вёрстка страницы оформления заказа,Вёрстка,Vue.js+CSS,12,3300,до 5 000 ₽
129,Ювелирный интернет-магазин,Интернет-магазин,Laravel+Vue,41,29000,15 000–30 000 ₽
130,Pixel-perfect вёрстка карточки товара,Вёрстка,Vue.js+CSS,11,7000,5 000–15 000 ₽
131,Магазин электроники с фильтрами,Интернет-магазин,Django+React,44,71000,60 000–120 000 ₽
132,Вёрстка личного кабинета,Вёрстка,HTML+Bootstrap 5,10,6400,5 000–15 000 ₽
133,REST API для каталога с пагинацией,Написание API,Go+Gin,3,21500,15 000–30 000 ₽
134,Webhook-интеграция с Telegram,Написание API,Spring Boot,2,40000,30 000–60 000 ₽
135,MVP приложения доставки еды,Мобильное приложение,Flutter,10,71000,60 000–120 000 ₽
136,Pixel-perfect вёрстка карточки товара,Вёрстка,HTML+Tailwind,1,7500,5 000–15 000 ₽
137,Прогнозирование стоимости задач,ML-модель,PyTorch,16,19000,15 000–30 000 ₽
138,Дата-пикер с диапазоном,UI-компонент,Vue.js,4,3000,до 5 000 ₽
139,Вёрстка email-шаблона,Вёрстка,Next.js+SCSS,13,13000,5 000–15 000 ₽
140,CRM для отдела продаж (MVP),Fullstack-разработка,React+Spring Boot,43,47400,30 000–60 000 ₽
141,Автобэкапы PostgreSQL,CI/CD и DevOps,Docker+GitHub Actions,10,12100,5 000–15 000 ₽
142,Ювелирный интернет-магазин,Интернет-магазин,Laravel+Vue,22,31500,30 000–60 000 ₽
143,Вёрстка дашборда аналитики,Вёрстка,HTML+CSS+BEM,6,7200,5 000–15 000 ₽
144,Прогнозирование стоимости задач,ML-модель,PyTorch,20,38500,30 000–60 000 ₽
145,Автобэкапы PostgreSQL,CI/CD и DevOps,Terraform+AWS,6,16000,15 000–30 000 ₽
146,API авторизации JWT и OAuth,Написание API,Go+Gin,3,39700,30 000–60 000 ₽
147,Докеризация приложения,CI/CD и DevOps,Ansible,10,8500,5 000–15 000 ₽
148,REST API для каталога с пагинацией,Написание API,Node.js+Express,17,12000,5 000–15 000 ₽
149,Full-text search PostgreSQL,Оптимизация SQL,PostgreSQL,5,9000,5 000–15 000 ₽
150,Интеграция Bitrix24,Автоматизация и скрипты,Python,9,8000,5 000–15 000 ₽
151,CRM для отдела продаж (MVP),Fullstack-разработка,React+Spring Boot,38,82500,60 000–120 000 ₽
152,CRUD API системы задач,Написание API,Node.js+Express,19,12100,5 000–15 000 ₽
153,Вёрстка email-шаблона,Вёрстка,HTML+Bootstrap 5,7,3000,до 5 000 ₽
154,Дизайн onboarding-flow,UI/UX Дизайн,Sketch,14,12000,5 000–15 000 ₽
155,Full-text search PostgreSQL,Оптимизация SQL,SQL Server,6,9000,5 000–15 000 ₽
156,Автовыгрузка данных в Excel,Автоматизация и скрипты,Bash+Python,14,5000,5 000–15 000 ₽
157,Парсер товаров с маркетплейса,Парсинг данных,Scrapy,5,7000,5 000–15 000 ₽
158,Kubernetes-манифесты,CI/CD и DevOps,GitLab CI,6,6000,5 000–15 000 ₽
159,Лендинг для службы доставки,Лендинг,Vue.js,16,12000,5 000–15 000 ₽
160,GraphQL API для портала,Написание API,NestJS+TypeScript,14,18000,15 000–30 000 ₽
161,Full-text search PostgreSQL,Оптимизация SQL,PostgreSQL,1,4000,до 5 000 ₽
162,Приложение для записи к врачу,Мобильное приложение,Swift (iOS),11,75500,60 000–120 000 ₽
163,Одностраничный сайт для юридических услуг,Лендинг,HTML+Bootstrap,3,3000,до 5 000 ₽
164,Сбор вакансий с hh.ru,Парсинг данных,Python+requests,5,5000,5 000–15 000 ₽
165,React-таблица с сортировкой,UI-компонент,React+Tailwind,6,9000,5 000–15 000 ₽
166,Telegram-бот для уведомлений,Автоматизация и скрипты,Python+aiogram,7,8000,5 000–15 000 ₽
167,Миграция на новый VPS,CI/CD и DevOps,Ansible,5,10600,5 000–15 000 ₽
168,Индексирование и рефакторинг JOIN,Оптимизация SQL,PostgreSQL,8,12000,5 000–15 000 ₽
169,Индексирование и рефакторинг JOIN,Оптимизация SQL,BigQuery,10,11000,5 000–15 000 ₽
170,Платформа онлайн-курсов с оплатой,Fullstack-разработка,Next.js+Supabase,27,38000,30 000–60 000 ₽
171,Лендинг для службы доставки,Лендинг,React,11,5500,5 000–15 000 ₽
172,Страница для сбора заявок,Лендинг,WordPress,17,10000,5 000–15 000 ₽
173,Вёрстка главной страницы по макету Figma,Вёрстка,HTML+Bootstrap 5,11,5000,5 000–15 000 ₽
174,Компонент загрузки файлов,UI-компонент,Svelte,6,4300,до 5 000 ₽
175,Вёрстка мобильного меню,Вёрстка,HTML+Tailwind,6,4200,до 5 000 ₽
176,Парсер товаров с маркетплейса,Парсинг данных,Python+requests,1,6000,5 000–15 000 ₽
177,Скрипт обработки изображений,Автоматизация и скрипты,Bash+Python,7,6000,5 000–15 000 ₽
178,Прогнозирование стоимости задач,ML-модель,Hugging Face,20,39500,30 000–60 000 ₽
179,Редизайн личного кабинета,UI/UX Дизайн,Figma+Lottie,11,28000,15 000–30 000 ₽
180,Компонент загрузки файлов,UI-компонент,React+TypeScript,10,7000,5 000–15 000 ₽
181,Одностраничный сайт для юридических услуг,Лендинг,HTML+Bootstrap,4,9000,5 000–15 000 ₽
182,Дашборд с графиками,UI-компонент,Svelte,3,5000,5 000–15 000 ₽
183,Accordion FAQ,UI-компонент,Svelte,2,7000,5 000–15 000 ₽
184,Сбор вакансий с hh.ru,Парсинг данных,Python+Playwright,10,7100,5 000–15 000 ₽
185,Дата-пикер с диапазоном,UI-компонент,React+Storybook,10,12000,5 000–15 000 ₽
186,Лендинг для службы доставки,Лендинг,Next.js,7,7500,5 000–15 000 ₽
187,Кластеризация пользователей,ML-модель,Hugging Face,10,42500,30 000–60 000 ₽
188,Интернет-аптека с кабинетом,Интернет-магазин,Django+React,17,81000,60 000–120 000 ₽
189,MVP приложения доставки еды,Мобильное приложение,React Native+Redux,26,81000,60 000–120 000 ₽
190,Дизайн мобильного приложения (10 экранов),UI/UX Дизайн,Figma+Principle,10,19000,15 000–30 000 ₽
191,UX-аудит сайта,UI/UX Дизайн,Figma+FigJam,18,9000,5 000–15 000 ₽
192,Webhook-интеграция с Telegram,Написание API,Spring Boot,17,19000,15 000–30 000 ₽
193,Drag-and-drop список,UI-компонент,Svelte,8,7500,5 000–15 000 ₽
194,Дизайн дашборда аналитики,UI/UX Дизайн,Adobe XD,14,11200,5 000–15 000 ₽
195,Анализ тональности отзывов,ML-модель,LightGBM,10,17000,15 000–30 000 ₽
196,Мониторинг сервера с алертами,Автоматизация и скрипты,Python,2,8000,5 000–15 000 ₽
197,Страница для сбора заявок,Лендинг,React,15,13500,5 000–15 000 ₽
198,Дизайн мобильного приложения (10 экранов),UI/UX Дизайн,Figma+Principle,15,10900,5 000–15 000 ₽
199,Скрипт обработки изображений,Автоматизация и скрипты,Python+openpyxl,13,5700,5 000–15 000 ₽
200,Лендинг для агентства недвижимости,Лендинг,Next.js,14,15400,15 000–30 000 ₽
201,Переписать N+1 в ORM,Оптимизация SQL,PostgreSQL+ORM,8,6000,5 000–15 000 ₽
202,Мультивендорный магазин,Интернет-магазин,React+Node.js,23,42000,30 000–60 000 ₽
203,Сбор вакансий с hh.ru,Парсинг данных,Python+requests,8,5500,5 000–15 000 ₽
204,CRUD API системы задач,Написание API,Node.js+Express,8,16000,15 000–30 000 ₽
205,Клиентское приложение для барбершопа,Мобильное приложение,Flutter+Firebase,41,52500,30 000–60 000 ₽
206,Рекомендательная система,ML-модель,Hugging Face,4,36500,30 000–60 000 ₽
207,MVP приложения доставки еды,Мобильное приложение,React Native+Redux,37,42000,30 000–60 000 ₽
208,Вёрстка главной страницы по макету Figma,Вёрстка,React+CSS Modules,14,4000,до 5 000 ₽
209,Компонент загрузки файлов,UI-компонент,React+Storybook,2,7800,5 000–15 000 ₽
210,Мониторинг сервера с алертами,Автоматизация и скрипты,Python+openpyxl,12,5500,5 000–15 000 ₽
211,Лендинг для медицинской клиники,Лендинг,Vue.js,8,5500,5 000–15 000 ₽
212,MVP приложения доставки еды,Мобильное приложение,React Native+TS,31,25000,15 000–30 000 ₽
213,Дизайн-система и UI-кит,UI/UX Дизайн,Figma+FigJam,8,13000,5 000–15 000 ₽
214,Каталог товаров с корзиной,Интернет-магазин,Django+React,28,50600,30 000–60 000 ₽
215,Переписать N+1 в ORM,Оптимизация SQL,BigQuery,5,6400,5 000–15 000 ₽
216,Учебное приложение с карточками,Мобильное приложение,Flutter+Firebase,18,58000,30 000–60 000 ₽
217,Приложение трекинга тренировок,Мобильное приложение,React Native+TS,12,33500,30 000–60 000 ₽
218,Вёрстка страницы оформления заказа,Вёрстка,Next.js+SCSS,12,11000,5 000–15 000 ₽
219,Приложение для бронирования,Мобильное приложение,Flutter,38,22000,15 000–30 000 ₽
220,Маркетплейс для мастеров,Интернет-магазин,Shopify,21,38000,30 000–60 000 ₽
221,Приложение учёта финансов,Мобильное приложение,React Native+Redux,39,54000,30 000–60 000 ₽
222,Мониторинг сервера с алертами,Автоматизация и скрипты,Python,1,8800,5 000–15 000 ₽
223,Ускорение отчётов PostgreSQL,Оптимизация SQL,SQL Server,9,4900,до 5 000 ₽
224,Вёрстка мобильного меню,Вёрстка,Vue.js+CSS,9,5500,5 000–15 000 ₽
225,Переписать N+1 в ORM,Оптимизация SQL,BigQuery,7,10600,5 000–15 000 ₽
226,Страница для сбора заявок,Лендинг,WordPress,8,6000,5 000–15 000 ₽
227,Мультивендорный магазин,Интернет-магазин,Django+React,32,27000,15 000–30 000 ₽
228,Маркетплейс для мастеров,Интернет-магазин,React+Node.js,39,27400,15 000–30 000 ₽
229,Вёрстка формы wizard,Вёрстка,Next.js+SCSS,12,11500,5 000–15 000 ₽
230,Мониторинг Prometheus/Grafana,CI/CD и DevOps,Ansible,2,17000,15 000–30 000 ₽
231,Магазин электроники с фильтрами,Интернет-магазин,Django+React,33,78000,60 000–120 000 ₽
232,Лендинг для медицинской клиники,Лендинг,WordPress,17,8000,5 000–15 000 ₽
233,Планировщик с Cron,Автоматизация и скрипты,Python,10,4000,до 5 000 ₽
234,Учебное приложение с карточками,Мобильное приложение,Swift (iOS),36,54000,30 000–60 000 ₽
235,Докеризация приложения,CI/CD и DevOps,Docker+GitHub Actions,2,16000,15 000–30 000 ₽
236,Портал управления заказами,Fullstack-разработка,React+Spring Boot,12,120000,свыше 120 000 ₽
237,Компонент загрузки файлов,UI-компонент,Vue.js,6,2000,до 5 000 ₽
238,Редизайн личного кабинета,UI/UX Дизайн,Adobe XD,4,17200,15 000–30 000 ₽
239,Лендинг для фитнес-клуба,Лендинг,HTML+Bootstrap,3,6800,5 000–15 000 ₽
240,MVP SaaS с подпиской,Fullstack-разработка,React+Spring Boot,15,72000,60 000–120 000 ₽
241,Лендинг для event-агентства,Лендинг,HTML+Bootstrap,7,8000,5 000–15 000 ₽
242,Мониторинг цен конкурентов,Парсинг данных,Python+BeautifulSoup,7,7000,5 000–15 000 ₽
243,Pixel-perfect вёрстка карточки товара,Вёрстка,Next.js+SCSS,5,9500,5 000–15 000 ₽
244,Форма с валидацией,UI-компонент,React+Storybook,9,8000,5 000–15 000 ₽
245,Классификация обращений,ML-модель,LightGBM,17,17000,15 000–30 000 ₽
246,Магазин детских товаров,Интернет-магазин,Django+React,18,48600,30 000–60 000 ₽
247,Миграция на новый VPS,CI/CD и DevOps,Terraform+AWS,7,11200,5 000–15 000 ₽
248,Одностраничный сайт для юридических услуг,Лендинг,HTML+CSS+JS,12,5500,5 000–15 000 ₽
249,Мультивендорный магазин,Интернет-магазин,Shopify,41,47000,30 000–60 000 ₽
250,GraphQL API для портала,Написание API,NestJS+TypeScript,7,10500,5 000–15 000 ₽
251,Форма с валидацией,UI-компонент,React+Storybook,10,9000,5 000–15 000 ₽
252,Лендинг для онлайн-курса,Лендинг,WordPress,11,5000,5 000–15 000 ₽
253,API интеграции с 1С,Написание API,NestJS+TypeScript,3,18000,15 000–30 000 ₽
254,Парсер товаров с маркетплейса,Парсинг данных,Python+Selenium,1,11000,5 000–15 000 ₽
255,Анализ тональности отзывов,ML-модель,XGBoost+CatBoost,4,29300,15 000–30 000 ₽
256,Вёрстка главной страницы по макету Figma,Вёрстка,Vue.js+CSS,7,7900,5 000–15 000 ₽
257,Адаптивная вёрстка корпоративного сайта,Вёрстка,HTML+Tailwind,12,4000,до 5 000 ₽
258,Промо-страница для нового продукта,Лендинг,Vue.js,10,9000,5 000–15 000 ₽
259,API авторизации JWT и OAuth,Написание API,Go+Gin,14,15000,15 000–30 000 ₽
260,Nginx+SSL+reverse proxy,CI/CD и DevOps,Kubernetes+Helm,5,15800,15 000–30 000 ₽
261,Дизайн email-шаблона,UI/UX Дизайн,Figma+Principle,2,39700,30 000–60 000 ₽
262,Промо-страница для нового продукта,Лендинг,HTML+Bootstrap,18,4000,до 5 000 ₽
263,Маркетплейс для мастеров,Интернет-магазин,1C-Bitrix,18,44000,30 000–60 000 ₽
264,Вёрстка личного кабинета,Вёрстка,React+CSS Modules,1,14000,5 000–15 000 ₽
265,Синхронизация CRM и 1С,Автоматизация и скрипты,Python+aiogram,13,3000,до 5 000 ₽
266,Лендинг для фитнес-клуба,Лендинг,Vue.js,9,16500,15 000–30 000 ₽
267,API интеграции с 1С,Написание API,Django REST,17,7000,5 000–15 000 ₽
268,Магазин детских товаров,Интернет-магазин,1C-Bitrix,17,24500,15 000–30 000 ₽
269,Каталог товаров с корзиной,Интернет-магазин,Laravel+Vue,42,31000,30 000–60 000 ₽
270,Дата-пикер с диапазоном,UI-компонент,React+TypeScript,9,8900,5 000–15 000 ₽
271,Telegram-бот для уведомлений,Автоматизация и скрипты,Bash+Python,5,6400,5 000–15 000 ₽
272,Адаптивная вёрстка корпоративного сайта,Вёрстка,Next.js+SCSS,11,6000,5 000–15 000 ₽
273,Платформа онлайн-курсов с оплатой,Fullstack-разработка,Vue.js+Django+PostgreSQL,18,74000,60 000–120 000 ₽
274,Магазин электроники с фильтрами,Интернет-магазин,Django+React,44,59000,30 000–60 000 ₽
275,Ускорение отчётов PostgreSQL,Оптимизация SQL,BigQuery,1,6000,5 000–15 000 ₽
276,Telegram-бот для уведомлений,Автоматизация и скрипты,Python+openpyxl,13,3000,до 5 000 ₽
277,Планировщик с Cron,Автоматизация и скрипты,n8n,12,3500,до 5 000 ₽
278,Мониторинг цен конкурентов,Парсинг данных,Python+BeautifulSoup,11,8500,5 000–15 000 ₽
279,Вёрстка личного кабинета,Вёрстка,Next.js+SCSS,6,10000,5 000–15 000 ₽
280,Интеграция Bitrix24,Автоматизация и скрипты,Zapier+Python,11,9000,5 000–15 000 ₽
281,GitHub Actions для деплоя,CI/CD и DevOps,Kubernetes+Helm,10,15400,15 000–30 000 ₽
282,Карусель с лайтбоксом,UI-компонент,Angular,8,9000,5 000–15 000 ₽
283,Ускорение отчётов PostgreSQL,Оптимизация SQL,PostgreSQL+ORM,7,8500,5 000–15 000 ₽
284,Скрипт обработки изображений,Автоматизация и скрипты,Bash+Python,1,3000,до 5 000 ₽
285,Приложение трекинга тренировок,Мобильное приложение,Flutter+Firebase,35,24500,15 000–30 000 ₽
286,Вёрстка личного кабинета,Вёрстка,React+CSS Modules,1,16000,15 000–30 000 ₽
287,Прогноз оттока клиентов,ML-модель,XGBoost+CatBoost,21,13000,5 000–15 000 ₽
288,Сбор отзывов с Google Maps,Парсинг данных,Python+Selenium,1,9500,5 000–15 000 ₽
289,Дата-пикер с диапазоном,UI-компонент,Svelte,3,7000,5 000–15 000 ₽
